transaction_id;user_id;transaction_datetime;amount;category;is_budgeted;is_late_night;is_weekend;is_unbudgeted;is_risky_category;is_binge_spending;hourly_txn_count;impulsive_score;impulsive_flag;income_monthly;total_debt_payment;dti_ratio;dti_segment;investment_amount;total_expense;wants_spending;saving_rate_score;wants_ratio_score;dti_score;investment_rate_score;budget_adherence;impulsive_component;health_score_original;health_score;health_label;dti_health_score;dti_health_label
TXN002543;USR0002;20/04/2024 07:11;6817700;F&B;TRUE;0;1;0;1;0;1;15;0;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN004793;USR0002;21/04/2024 11:05;2811900;hiburan;TRUE;0;1;0;1;0;1;15;0;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN003459;USR0002;25/04/2024 12:10;2500560;transportasi;TRUE;0;0;0;0;0;1;0;0;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN003814;USR0002;30/04/2024 06:37;5321200;fashion;FALSE;0;0;1;1;0;1;375;0;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN000653;USR0002;30/04/2024 11:58;6021000;tagihan;TRUE;0;0;0;0;0;1;0;0;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN001964;USR0002;01/05/2024 10:08;970740;kesehatan;TRUE;0;0;0;0;0;1;0;0;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN003897;USR0002;07/05/2024 22:26;1185820;F&B;TRUE;1;0;0;1;0;1;375;0;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN000294;USR0002;14/05/2024 20:10;5746740;pendidikan;TRUE;0;0;0;0;0;1;0;0;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN003508;USR0002;28/05/2024 22:10;7522810;hiburan;FALSE;1;0;1;1;0;1;675;1;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN004809;USR0002;29/05/2024 12:37;6223760;tagihan;FALSE;0;0;1;0;0;1;3;0;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN003618;USR0002;01/06/2024 23:37;2817310;elektronik;FALSE;1;1;1;0;0;1;675;1;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN002810;USR0002;06/06/2024 01:16;4434020;hobi;TRUE;1;0;0;0;0;1;3;0;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN004487;USR0002;06/06/2024 09:57;3260660;fashion;FALSE;0;0;1;1;0;1;375;0;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN004318;USR0002;08/06/2024 20:28;6988220;hobi;FALSE;0;1;1;0;0;1;375;0;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN003133;USR0002;08/06/2024 21:14;470250;pendidikan;FALSE;0;1;1;0;0;1;375;0;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN002797;USR0002;09/06/2024 13:33;5411830;kesehatan;TRUE;0;1;0;0;0;1;75;0;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN000236;USR0002;23/06/2024 18:57;7154500;fashion;FALSE;0;1;1;1;0;1;45;0;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN001035;USR0002;01/07/2024 20:26;2537760;pendidikan;FALSE;0;0;1;0;0;1;3;0;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN000433;USR0002;09/07/2024 03:46;3883470;kebutuhan_pokok;TRUE;0;0;0;0;0;1;0;0;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN000931;USR0002;09/07/2024 05:42;4560170;tagihan;FALSE;0;0;1;0;0;1;3;0;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN002339;USR0002;26/07/2024 07:13;1072910;fashion;FALSE;0;1;1;1;0;1;45;0;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN001656;USR0002;26/07/2024 23:21;5890410;F&B;FALSE;1;1;1;1;0;1;75;1;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN001187;USR0002;08/08/2024 01:59;1249450;hobi;TRUE;1;0;0;0;0;1;3;0;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN002080;USR0002;17/08/2024 03:32;9576490;F&B;FALSE;0;1;1;1;0;1;45;0;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN004568;USR0002;03/09/2024 20:32;6061490;hobi;TRUE;0;0;0;0;0;1;0;0;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN000707;USR0002;07/09/2024 21:23;3574400;elektronik;FALSE;0;1;1;0;0;1;375;0;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN001946;USR0002;18/09/2024 20:24;5863280;elektronik;TRUE;0;0;0;0;0;1;0;0;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN002225;USR0002;19/09/2024 21:17;1539960;kebutuhan_pokok;TRUE;0;0;0;0;0;1;0;0;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN004227;USR0002;20/09/2024 06:29;1987850;hiburan;FALSE;0;1;1;1;0;1;45;0;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN000693;USR0002;20/09/2024 15:47;4156760;hiburan;TRUE;0;1;0;1;0;1;15;0;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN003726;USR0002;21/09/2024 22:33;5408170;hobi;FALSE;1;1;1;0;0;1;675;1;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN001142;USR0002;22/09/2024 23:13;5886330;F&B;FALSE;1;1;1;1;0;1;75;1;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN004566;USR0002;06/10/2024 00:35;3386970;kebutuhan_pokok;FALSE;1;1;1;0;0;1;675;1;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN002419;USR0002;11/10/2024 22:11;4643300;hobi;FALSE;1;1;1;0;0;1;675;1;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN000465;USR0002;22/10/2024 07:09;5983450;kesehatan;FALSE;0;0;1;0;0;1;3;0;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN000607;USR0002;25/10/2024 00:59;6894580;elektronik;FALSE;1;1;1;0;0;1;675;1;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN004469;USR0002;04/11/2024 20:58;5142870;kesehatan;FALSE;0;0;1;0;0;1;3;0;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN002889;USR0002;15/11/2024 03:01;4935140;kebutuhan_pokok;FALSE;0;1;1;0;0;1;375;0;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN000838;USR0002;24/11/2024 08:49;4391450;hobi;FALSE;0;1;1;0;0;1;375;0;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN002414;USR0002;30/11/2024 05:00;2833670;hiburan;TRUE;0;1;0;1;0;1;15;0;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN001934;USR0002;30/11/2024 06:22;9013920;elektronik;FALSE;0;1;1;0;0;1;375;0;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN002644;USR0002;03/12/2024 22:58;5584640;fashion;FALSE;1;0;1;1;0;1;675;1;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN000936;USR0002;04/12/2024 16:33;492610;F&B;FALSE;0;0;1;1;0;1;375;0;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN002938;USR0002;16/12/2024 20:13;1676770;kebutuhan_pokok;TRUE;0;0;0;0;0;1;0;0;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN000985;USR0002;26/12/2024 19:50;2345020;kesehatan;TRUE;0;0;0;0;0;1;0;0;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN003299;USR0002;30/12/2024 16:52;500620;kesehatan;TRUE;0;0;0;0;0;1;0;0;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN000640;USR0003;17/01/2024 10:17;6224200;transportasi;TRUE;0;0;0;0;0;1;0;0;162035990;88061180;5435;C;7086940;94496880;38992540;10;1979;0;4374;375;55;4634;56.43;Cukup;15.08;Kritis
TXN002663;USR0003;20/01/2024 22:00;20944790;F&B;FALSE;1;1;1;1;0;1;75;1;162035990;88061180;5435;C;7086940;94496880;38992540;10;1979;0;4374;375;55;4634;56.43;Cukup;15.08;Kritis
TXN002094;USR0003;31/03/2024 22:03;10891410;pendidikan;FALSE;1;1;1;0;0;1;675;1;162035990;88061180;5435;C;7086940;94496880;38992540;10;1979;0;4374;375;55;4634;56.43;Cukup;15.08;Kritis
TXN000464;USR0003;17/06/2024 12:54;1548160;hobi;TRUE;0;0;0;0;0;1;0;0;162035990;88061180;5435;C;7086940;94496880;38992540;10;1979;0;4374;375;55;4634;56.43;Cukup;15.08;Kritis
TXN004197;USR0003;21/06/2024 01:15;15126550;F&B;FALSE;1;1;1;1;0;1;75;1;162035990;88061180;5435;C;7086940;94496880;38992540;10;1979;0;4374;375;55;4634;56.43;Cukup;15.08;Kritis
TXN000252;USR0003;04/07/2024 23:46;9465650;hobi;FALSE;1;0;1;0;0;1;6;1;162035990;88061180;5435;C;7086940;94496880;38992540;10;1979;0;4374;375;55;4634;56.43;Cukup;15.08;Kritis
TXN002219;USR0003;26/10/2024 00:36;9267740;hobi;TRUE;1;1;0;0;0;1;375;0;162035990;88061180;5435;C;7086940;94496880;38992540;10;1979;0;4374;375;55;4634;56.43;Cukup;15.08;Kritis
TXN003648;USR0003;29/11/2024 21:53;22441660;hiburan;FALSE;0;1;1;1;0;1;45;0;162035990;88061180;5435;C;7086940;94496880;38992540;10;1979;0;4374;375;55;4634;56.43;Cukup;15.08;Kritis
TXN001334;USR0004;03/02/2024 18:44;6390640;elektronik;FALSE;0;1;1;0;0;1;375;0;85675340;30265230;3533;B;14208120;50498930;18697580;10;2725;1168;10;2353;5853;5158;63.16;Sehat;33.94;Waspada
TXN000740;USR0004;09/02/2024 20:12;8047660;fashion;FALSE;0;1;1;1;0;1;45;0;85675340;30265230;3533;B;14208120;50498930;18697580;10;2725;1168;10;2353;5853;5158;63.16;Sehat;33.94;Waspada
TXN001403;USR0004;28/02/2024 18:54;5619710;transportasi;TRUE;0;0;0;0;0;1;0;0;85675340;30265230;3533;B;14208120;50498930;18697580;10;2725;1168;10;2353;5853;5158;63.16;Sehat;33.94;Waspada
TXN003779;USR0004;15/03/2024 18:44;8181580;fashion;FALSE;0;1;1;1;0;1;45;0;85675340;30265230;3533;B;14208120;50498930;18697580;10;2725;1168;10;2353;5853;5158;63.16;Sehat;33.94;Waspada
TXN002473;USR0004;20/04/2024 11:33;2136870;hobi;FALSE;0;1;1;0;0;1;375;0;85675340;30265230;3533;B;14208120;50498930;18697580;10;2725;1168;10;2353;5853;5158;63.16;Sehat;33.94;Waspada
TXN001849;USR0004;13/05/2024 02:24;993890;tagihan;FALSE;0;0;1;0;0;1;3;0;85675340;30265230;3533;B;14208120;50498930;18697580;10;2725;1168;10;2353;5853;5158;63.16;Sehat;33.94;Waspada
TXN001416;USR0004;01/06/2024 03:23;6773320;hiburan;TRUE;0;1;0;1;0;1;15;0;85675340;30265230;3533;B;14208120;50498930;18697580;10;2725;1168;10;2353;5853;5158;63.16;Sehat;33.94;Waspada
TXN000532;USR0004;10/07/2024 00:35;7182330;F&B;FALSE;1;0;1;1;0;1;675;1;85675340;30265230;3533;B;14208120;50498930;18697580;10;2725;1168;10;2353;5853;5158;63.16;Sehat;33.94;Waspada
TXN002481;USR0004;09/08/2024 23:48;5098380;fashion;FALSE;1;1;1;1;0;1;75;1;85675340;30265230;3533;B;14208120;50498930;18697580;10;2725;1168;10;2353;5853;5158;63.16;Sehat;33.94;Waspada
TXN004365;USR0004;03/09/2024 03:13;5706480;pendidikan;FALSE;0;0;1;0;0;1;3;0;85675340;30265230;3533;B;14208120;50498930;18697580;10;2725;1168;10;2353;5853;5158;63.16;Sehat;33.94;Waspada
TXN001378;USR0004;24/09/2024 10:08;604400;transportasi;TRUE;0;0;0;0;0;1;0;0;85675340;30265230;3533;B;14208120;50498930;18697580;10;2725;1168;10;2353;5853;5158;63.16;Sehat;33.94;Waspada
TXN002729;USR0004;02/10/2024 23:11;5651160;kesehatan;FALSE;1;0;1;0;0;1;6;1;85675340;30265230;3533;B;14208120;50498930;18697580;10;2725;1168;10;2353;5853;5158;63.16;Sehat;33.94;Waspada
TXN003041;USR0004;07/10/2024 03:57;2021890;transportasi;FALSE;0;0;1;0;0;1;3;0;85675340;30265230;3533;B;14208120;50498930;18697580;10;2725;1168;10;2353;5853;5158;63.16;Sehat;33.94;Waspada
TXN001531;USR0004;10/11/2024 23:12;3442270;elektronik;TRUE;1;1;0;0;0;1;375;0;85675340;30265230;3533;B;14208120;50498930;18697580;10;2725;1168;10;2353;5853;5158;63.16;Sehat;33.94;Waspada
TXN000706;USR0004;11/11/2024 22:25;6223860;elektronik;FALSE;1;0;1;0;0;1;6;1;85675340;30265230;3533;B;14208120;50498930;18697580;10;2725;1168;10;2353;5853;5158;63.16;Sehat;33.94;Waspada
TXN003066;USR0004;21/11/2024 01:18;4152770;hiburan;FALSE;1;0;1;1;0;1;675;1;85675340;30265230;3533;B;14208120;50498930;18697580;10;2725;1168;10;2353;5853;5158;63.16;Sehat;33.94;Waspada
TXN004630;USR0004;15/12/2024 23:54;3048010;hobi;FALSE;1;1;1;0;0;1;675;1;85675340;30265230;3533;B;14208120;50498930;18697580;10;2725;1168;10;2353;5853;5158;63.16;Sehat;33.94;Waspada
TXN004949;USR0005;15/01/2024 20:49;3279630;transportasi;FALSE;0;0;1;0;0;1;3;0;36617960;9645480;2634;A;656890;30061890;6786170;8952;3823;3415;1794;1111;675;5551;68.21;Sehat;46.95;Cukup
TXN001886;USR0005;31/01/2024 14:45;685680;transportasi;FALSE;0;0;1;0;0;1;3;0;36617960;9645480;2634;A;656890;30061890;6786170;8952;3823;3415;1794;1111;675;5551;68.21;Sehat;46.95;Cukup
TXN000579;USR0005;08/02/2024 12:24;296100;pendidikan;FALSE;0;0;1;0;0;1;3;0;36617960;9645480;2634;A;656890;30061890;6786170;8952;3823;3415;1794;1111;675;5551;68.21;Sehat;46.95;Cukup
TXN002365;USR0005;14/04/2024 22:04;1023390;hobi;TRUE;1;1;0;0;0;1;375;0;36617960;9645480;2634;A;656890;30061890;6786170;8952;3823;3415;1794;1111;675;5551;68.21;Sehat;46.95;Cukup
TXN002833;USR0005;28/05/2024 15:51;2089310;pendidikan;FALSE;0;0;1;0;0;1;3;0;36617960;9645480;2634;A;656890;30061890;6786170;8952;3823;3415;1794;1111;675;5551;68.21;Sehat;46.95;Cukup
TXN000921;USR0005;04/06/2024 21:11;379690;tagihan;FALSE;0;0;1;0;0;1;3;0;36617960;9645480;2634;A;656890;30061890;6786170;8952;3823;3415;1794;1111;675;5551;68.21;Sehat;46.95;Cukup
TXN004585;USR0005;26/07/2024 12:16;5307290;elektronik;FALSE;0;1;1;0;0;1;375;0;36617960;9645480;2634;A;656890;30061890;6786170;8952;3823;3415;1794;1111;675;5551;68.21;Sehat;46.95;Cukup
TXN000292;USR0005;26/11/2024 05:18;833490;hiburan;FALSE;0;0;1;1;0;1;375;0;36617960;9645480;2634;A;656890;30061890;6786170;8952;3823;3415;1794;1111;675;5551;68.21;Sehat;46.95;Cukup
TXN000491;USR0005;19/12/2024 15:33;2882100;transportasi;FALSE;0;0;1;0;0;1;3;0;36617960;9645480;2634;A;656890;30061890;6786170;8952;3823;3415;1794;1111;675;5551;68.21;Sehat;46.95;Cukup
TXN004783;USR0006;12/02/2024 18:32;7683940;kebutuhan_pokok;FALSE;0;0;1;0;0;1;3;0;113641040;23104800;2033;A;3900130;60757160;13884100;10;5927;4918;3432;3125;7;6857;84.98;Excellent;58.37;Cukup
TXN001005;USR0006;22/02/2024 02:50;10511980;tagihan;TRUE;0;0;0;0;0;1;0;0;113641040;23104800;2033;A;3900130;60757160;13884100;10;5927;4918;3432;3125;7;6857;84.98;Excellent;58.37;Cukup
TXN002521;USR0006;14/03/2024 23:29;10918700;tagihan;FALSE;1;0;1;0;0;1;6;1;113641040;23104800;2033;A;3900130;60757160;13884100;10;5927;4918;3432;3125;7;6857;84.98;Excellent;58.37;Cukup
TXN004555;USR0006;10/04/2024 22:37;5319650;kesehatan;FALSE;1;0;1;0;0;1;6;1;113641040;23104800;2033;A;3900130;60757160;13884100;10;5927;4918;3432;3125;7;6857;84.98;Excellent;58.37;Cukup
TXN004231;USR0006;03/05/2024 11:40;3982640;fashion;FALSE;0;1;1;1;0;1;45;0;113641040;23104800;2033;A;3900130;60757160;13884100;10;5927;4918;3432;3125;7;6857;84.98;Excellent;58.37;Cukup
TXN004013;USR0006;04/06/2024 11:11;2562150;transportasi;FALSE;0;0;1;0;0;1;3;0;113641040;23104800;2033;A;3900130;60757160;13884100;10;5927;4918;3432;3125;7;6857;84.98;Excellent;58.37;Cukup
TXN001078;USR0006;11/06/2024 19:36;5036910;pendidikan;TRUE;0;0;0;0;0;1;0;0;113641040;23104800;2033;A;3900130;60757160;13884100;10;5927;4918;3432;3125;7;6857;84.98;Excellent;58.37;Cukup
TXN003404;USR0006;28/06/2024 01:41;14458610;fashion;FALSE;1;1;1;1;0;1;75;1;113641040;23104800;2033;A;3900130;60757160;13884100;10;5927;4918;3432;3125;7;6857;84.98;Excellent;58.37;Cukup
