Age,Occupation,City_Tier,penghasilan_bulanan,pengeluaran_tetap,pengeluaran_variabel,total_pengeluaran,punya_tabungan,jumlah_tabungan_bulan,punya_investasi,jenis_investasi,tujuan_keuangan,toleransi_rugi,tanggungan_keluarga,dti_ratio,saving_rate,disposable_ratio,expense_ratio,ceamis_score,SAVEHABIT,SELFCONTROL_1,SCFHORIZON,FINGOALS,toleransi_rugi_enc,tujuan_keuangan_enc,inv_deposito,inv_deposito_obligasi,inv_saham_obligasi,inv_saham_reksa_dana,inv_tidak_ada,occ_Professional,occ_Retired,occ_Self_Employed,occ_Student,risk_label,risk_label_enc
55,Student,Tier_1,2796941.0,1510762.0,807603.0,2318365.0,1,0.52,0,tidak_ada,darurat,sedang,4,0.0572,0.0724,0.1711,0.8289,0.4452,2,2,3,0,1,0,False,False,False,False,True,False,False,False,True,Konservatif,0
46,Professional,Tier_2,1868438.0,555129.0,607946.0,1163075.0,1,0.5,0,tidak_ada,darurat,sedang,0,0.0,0.0522,0.3775,0.6225,0.5126,3,2,3,1,1,0,False,False,False,False,True,True,False,False,False,Moderat,1
54,Retired,Tier_2,18680207.0,8239250.0,6424296.0,14663546.0,1,1.04,1,deposito_obligasi,pensiun,sedang,4,0.0978,0.1355,0.215,0.785,0.4621,5,1,3,1,1,1,False,True,False,False,False,False,True,False,False,Konservatif,0
52,Self_Employed,Tier_2,4827479.0,2238505.0,1644278.0,3882783.0,1,0.43,0,tidak_ada,pensiun,sedang,4,0.1157,0.0575,0.1957,0.8043,0.4228,2,2,2,1,1,1,False,False,False,False,True,False,False,True,False,Konservatif,0
37,Student,Tier_1,6104145.0,2355791.0,2053445.0,4409236.0,1,0.57,0,tidak_ada,darurat,sedang,0,0.0,0.0684,0.2777,0.7223,0.4934,5,2,4,1,1,0,False,False,False,False,True,False,False,False,True,Konservatif,0
52,Retired,Tier_2,1849928.0,635281.0,617894.0,1253175.0,1,0.48,0,tidak_ada,darurat,sedang,4,0.0,0.0545,0.3226,0.6774,0.4997,3,2,1,1,1,0,False,False,False,False,True,False,True,False,False,Konservatif,0
52,Retired,Tier_1,3741323.0,2277926.0,1304116.0,3582042.0,1,0.27,0,tidak_ada,pensiun,rendah,3,0.1459,0.0426,0.0426,0.9574,0.3672,2,1,4,0,0,1,False,False,False,False,True,False,True,False,False,Konservatif,0
37,Professional,Tier_2,6319775.0,2175702.0,2260120.0,4435822.0,1,0.8,0,tidak_ada,beli_aset,sedang,3,0.0,0.0937,0.2981,0.7019,0.5073,4,3,3,1,1,2,False,False,False,False,True,True,False,False,False,Konservatif,0
19,Student,Tier_2,2302857.0,825817.0,677459.0,1503276.0,1,0.52,0,tidak_ada,darurat,sedang,4,0.0,0.0561,0.3472,0.6528,0.5064,3,2,1,0,1,0,False,False,False,False,True,False,False,False,True,Konservatif,0
35,Retired,Tier_3,7810773.0,1989443.0,2647001.0,4636444.0,1,1.5,1,deposito_obligasi,pensiun,tinggi,0,0.0,0.1479,0.4064,0.5936,0.5534,5,1,4,1,2,1,False,True,False,False,False,False,True,False,False,Agresif,2
47,Self_Employed,Tier_2,3576678.0,1651042.0,1265781.0,2916823.0,1,0.71,0,tidak_ada,beli_aset,sedang,4,0.0643,0.0966,0.1845,0.8155,0.4542,3,1,3,0,1,2,False,False,False,False,True,False,False,True,False,Konservatif,0
59,Student,Tier_2,4579503.0,1752100.0,1396692.0,3148792.0,1,0.55,0,tidak_ada,darurat,sedang,4,0.0,0.0632,0.3124,0.6876,0.5002,5,2,5,0,1,0,False,False,False,False,True,False,False,False,True,Konservatif,0
46,Professional,Tier_2,3573624.0,2045357.0,1132190.0,3177547.0,1,0.63,0,tidak_ada,beli_aset,sedang,1,0.1812,0.0935,0.1108,0.8892,0.3879,2,2,3,1,1,2,False,False,False,False,True,True,False,False,False,Konservatif,0
56,Self_Employed,Tier_3,25451331.0,7616078.0,8188741.0,15804819.0,1,1.79,1,saham_obligasi,pensiun,sedang,2,0.0,0.1853,0.379,0.621,0.5596,6,2,5,1,1,1,False,False,True,False,False,False,False,True,False,Moderat,1
39,Retired,Tier_1,5721023.0,2805720.0,1747116.0,4552836.0,1,0.39,0,tidak_ada,pensiun,sedang,0,0.0975,0.0515,0.2042,0.7958,0.4301,3,1,2,1,1,1,False,False,False,False,True,False,True,False,False,Konservatif,0
46,Retired,Tier_2,2481285.0,985681.0,887628.0,1873309.0,1,0.7,0,tidak_ada,darurat,sedang,2,0.0,0.0886,0.245,0.755,0.4923,5,2,1,0,1,0,False,False,False,False,True,False,True,False,False,Konservatif,0
63,Retired,Tier_2,11167206.0,4541289.0,2997784.0,7539073.0,1,1.17,0,tidak_ada,pensiun,sedang,1,0.0,0.1317,0.3249,0.6751,0.5273,5,2,5,1,1,1,False,False,False,False,True,False,True,False,False,Moderat,1
27,Retired,Tier_2,2177703.0,799306.0,744586.0,1543892.0,1,0.73,0,tidak_ada,darurat,sedang,2,0.0,0.0867,0.291,0.709,0.5031,4,1,1,1,1,0,False,False,False,False,True,False,True,False,False,Konservatif,0
37,Professional,Tier_3,6834863.0,2576503.0,2296390.0,4872893.0,1,0.49,0,tidak_ada,beli_aset,sedang,4,0.0778,0.0576,0.2871,0.7129,0.4608,3,2,2,1,1,2,False,False,False,False,True,True,False,False,False,Konservatif,0
33,Self_Employed,Tier_2,1205880.0,628264.0,424698.0,1052962.0,1,0.44,0,tidak_ada,darurat,sedang,3,0.1387,0.0642,0.1268,0.8732,0.3987,5,2,2,1,1,0,False,False,False,False,True,False,False,True,False,Konservatif,0
23,Student,Tier_3,1998500.0,692109.0,566602.0,1258711.0,1,0.6,0,tidak_ada,darurat,sedang,0,0.0711,0.063,0.3702,0.6298,0.4862,1,2,2,0,1,0,False,False,False,False,True,False,False,False,True,Konservatif,0
34,Retired,Tier_1,6769549.0,2689056.0,2117193.0,4806249.0,1,0.45,0,tidak_ada,pensiun,sedang,0,0.0,0.0537,0.29,0.71,0.4913,5,3,2,1,1,1,False,False,False,False,True,False,True,False,False,Konservatif,0
23,Self_Employed,Tier_1,10440774.0,6174256.0,3269081.0,9443337.0,1,0.63,0,tidak_ada,darurat,rendah,4,0.0995,0.0955,0.0955,0.9045,0.4175,3,2,5,0,0,0,False,False,False,False,True,False,False,True,False,Konservatif,0
39,Self_Employed,Tier_2,6632887.0,2509549.0,2079360.0,4588909.0,1,0.8,0,tidak_ada,beli_aset,sedang,2,0.0,0.0917,0.3082,0.6918,0.5091,5,1,4,1,1,2,False,False,False,False,True,False,False,True,False,Moderat,1
35,Self_Employed,Tier_3,5272090.0,1281834.0,1648512.0,2930346.0,1,0.6,0,tidak_ada,darurat,sedang,0,0.0,0.056,0.4442,0.5558,0.5307,4,2,2,1,1,0,False,False,False,False,True,False,False,True,False,Moderat,1
49,Self_Employed,Tier_2,4545158.0,1655399.0,1501870.0,3157269.0,1,0.86,0,tidak_ada,beli_aset,sedang,1,0.0,0.0996,0.3054,0.6946,0.5112,3,1,1,0,1,2,False,False,False,False,True,False,False,True,False,Moderat,1
45,Professional,Tier_2,1772034.0,1053733.0,613755.0,1667488.0,1,0.38,0,tidak_ada,darurat,rendah,1,0.1793,0.059,0.059,0.941,0.3637,6,2,2,0,0,0,False,False,False,False,True,True,False,False,False,Konservatif,0
59,Self_Employed,Tier_2,3251349.0,1706322.0,971029.0,2677351.0,1,0.7,0,tidak_ada,darurat,sedang,2,0.1684,0.0965,0.1765,0.8235,0.4105,6,2,2,1,1,0,False,False,False,False,True,False,False,True,False,Konservatif,0
27,Professional,Tier_3,4000561.0,1395991.0,1334180.0,2730171.0,1,0.72,0,tidak_ada,darurat,sedang,1,0.0,0.0823,0.3176,0.6824,0.5082,5,3,3,0,1,0,False,False,False,False,True,True,False,False,False,Moderat,1
58,Professional,Tier_1,13472402.0,6407978.0,4406893.0,10814871.0,1,1.0,1,saham_obligasi,pensiun,sedang,3,0.0,0.1336,0.1973,0.8027,0.4961,3,3,5,1,1,1,False,False,True,False,False,True,False,False,False,Konservatif,0
39,Retired,Tier_2,7612869.0,2599380.0,2150461.0,4749841.0,1,0.73,0,tidak_ada,pensiun,sedang,4,0.0,0.0764,0.3761,0.6239,0.5208,4,3,1,1,1,1,False,False,False,False,True,False,True,False,False,Moderat,1
45,Student,Tier_2,1411303.0,591274.0,408760.0,1000034.0,1,0.58,0,tidak_ada,darurat,sedang,0,0.0922,0.0681,0.2914,0.7086,0.4598,5,2,2,1,1,0,False,False,False,False,True,False,False,False,True,Konservatif,0
32,Student,Tier_2,7494824.0,2617918.0,2328712.0,4946630.0,1,0.52,0,tidak_ada,darurat,sedang,4,0.0,0.0568,0.34,0.66,0.5049,5,3,3,1,1,0,False,False,False,False,True,False,False,False,True,Konservatif,0
60,Self_Employed,Tier_2,4249833.0,2139561.0,1247914.0,3387475.0,1,0.46,0,tidak_ada,pensiun,sedang,2,0.113,0.0609,0.2029,0.7971,0.4268,1,2,2,0,1,1,False,False,False,False,True,False,False,True,False,Konservatif,0
46,Self_Employed,Tier_1,3364932.0,1622007.0,1021286.0,2643293.0,1,0.47,0,tidak_ada,darurat,sedang,4,0.0,0.0611,0.2145,0.7855,0.475,2,2,4,0,1,0,False,False,False,False,True,False,False,True,False,Konservatif,0
24,Student,Tier_3,9433682.0,3576016.0,3129301.0,6705317.0,1,0.95,0,tidak_ada,darurat,sedang,0,0.1262,0.1125,0.2892,0.7108,0.4612,5,2,3,1,1,0,False,False,False,False,True,False,False,False,True,Konservatif,0
51,Student,Tier_2,13193775.0,5957899.0,4226451.0,10184350.0,1,1.05,1,saham_obligasi,darurat,sedang,0,0.1351,0.135,0.2281,0.7719,0.4502,6,3,3,0,1,0,False,False,True,False,False,False,False,False,True,Konservatif,0
49,Professional,Tier_2,12182124.0,4662523.0,4090590.0,8753113.0,1,1.09,0,tidak_ada,bebas_finansial,sedang,2,0.0,0.1304,0.2815,0.7185,0.516,4,2,4,1,1,3,False,False,False,False,True,True,False,False,False,Moderat,1
19,Self_Employed,Tier_2,2955215.0,856992.0,1032564.0,1889556.0,1,0.86,0,tidak_ada,darurat,sedang,0,0.0,0.0918,0.3606,0.6394,0.5223,4,2,5,1,1,0,False,False,False,False,True,False,False,True,False,Moderat,1
43,Student,Tier_1,4515769.0,2739560.0,1490742.0,4230302.0,1,0.4,0,tidak_ada,darurat,rendah,1,0.0951,0.0632,0.0632,0.9368,0.3999,3,2,1,0,0,0,False,False,False,False,True,False,False,False,True,Konservatif,0
62,Student,Tier_2,7537995.0,2960675.0,2456443.0,5417118.0,1,0.47,0,tidak_ada,darurat,sedang,4,0.0,0.0567,0.2814,0.7186,0.4902,5,3,2,0,1,0,False,False,False,False,True,False,False,False,True,Konservatif,0
28,Professional,Tier_2,12621246.0,4552826.0,3974894.0,8527720.0,1,1.22,1,saham_obligasi,bebas_finansial,tinggi,3,0.0,0.1372,0.3243,0.6757,0.5291,2,2,2,0,2,3,False,False,True,False,False,True,False,False,False,Agresif,2
42,Retired,Tier_2,3941676.0,1469797.0,1326331.0,2796128.0,1,0.45,0,tidak_ada,pensiun,sedang,3,0.0,0.053,0.2906,0.7094,0.4912,6,2,2,1,1,1,False,False,False,False,True,False,True,False,False,Konservatif,0
36,Professional,Tier_2,4984925.0,1779994.0,1559633.0,3339627.0,1,0.84,0,tidak_ada,beli_aset,sedang,3,0.0,0.0935,0.3301,0.6699,0.5152,2,1,5,1,1,2,False,False,False,False,True,True,False,False,False,Moderat,1
37,Student,Tier_3,2386619.0,1133916.0,650239.0,1784155.0,1,0.73,0,tidak_ada,darurat,sedang,2,0.1301,0.0916,0.2524,0.7476,0.4431,2,4,5,1,1,0,False,False,False,False,True,False,False,False,True,Konservatif,0
50,Self_Employed,Tier_2,2221050.0,1237475.0,706125.0,1943600.0,1,0.38,0,tidak_ada,darurat,sedang,3,0.166,0.0556,0.1249,0.8751,0.3843,3,2,5,1,1,0,False,False,False,False,True,False,False,True,False,Konservatif,0
34,Retired,Tier_2,11078055.0,5769287.0,3028896.0,8798183.0,1,0.78,1,deposito_obligasi,pensiun,sedang,4,0.1529,0.1027,0.2058,0.7942,0.4262,5,2,4,1,1,1,False,True,False,False,False,False,True,False,False,Konservatif,0
47,Professional,Tier_1,17114696.0,6459432.0,5388315.0,11847747.0,1,1.04,1,saham_obligasi,bebas_finansial,sedang,0,0.0,0.12,0.3077,0.6923,0.5189,5,1,3,1,1,3,False,False,True,False,False,True,False,False,False,Moderat,1
35,Retired,Tier_1,5459392.0,2398530.0,1783364.0,4181894.0,1,0.62,0,tidak_ada,pensiun,sedang,1,0.0,0.0792,0.234,0.766,0.4862,5,2,4,1,1,1,False,False,False,False,True,False,True,False,False,Konservatif,0
49,Retired,Tier_2,12907026.0,7385496.0,4540094.0,11925590.0,1,0.49,0,tidak_ada,pensiun,rendah,3,0.1926,0.076,0.076,0.924,0.3686,5,2,4,0,0,1,False,False,False,False,True,False,True,False,False,Konservatif,0
57,Professional,Tier_1,7723397.0,4129392.0,2640838.0,6770230.0,1,0.7,1,saham_reksa_dana,pensiun,sedang,3,0.0858,0.1021,0.1234,0.8766,0.4323,3,2,3,1,1,1,False,False,False,True,False,True,False,False,False,Konservatif,0
62,Self_Employed,Tier_2,3451641.0,1261971.0,1204477.0,2466448.0,1,0.59,0,tidak_ada,pensiun,sedang,3,0.0,0.0705,0.2854,0.7146,0.496,6,2,2,1,1,1,False,False,False,False,True,False,False,True,False,Konservatif,0
21,Student,Tier_3,7721912.0,3847990.0,2795697.0,6643687.0,1,0.92,0,tidak_ada,darurat,sedang,1,0.1517,0.1313,0.1396,0.8604,0.4202,5,1,4,1,1,0,False,False,False,False,True,False,False,False,True,Konservatif,0
49,Student,Tier_2,19793919.0,10957824.0,6174886.0,17132710.0,1,0.93,1,saham_obligasi,darurat,sedang,4,0.1925,0.1344,0.1344,0.8656,0.4036,5,1,5,0,1,0,False,False,True,False,False,False,False,False,True,Konservatif,0
36,Self_Employed,Tier_2,5619736.0,2287362.0,1837810.0,4125172.0,1,0.65,0,tidak_ada,beli_aset,sedang,3,0.0,0.0793,0.2659,0.7341,0.4942,3,2,3,1,1,2,False,False,False,False,True,False,False,True,False,Konservatif,0
20,Retired,Tier_1,20219762.0,9512632.0,6679028.0,16191660.0,1,1.32,0,tidak_ada,darurat,sedang,0,0.0644,0.1758,0.1992,0.8008,0.4856,4,2,3,1,1,0,False,False,False,False,True,False,True,False,False,Konservatif,0
55,Self_Employed,Tier_1,711165.0,423225.0,259644.0,682869.0,1,0.25,0,tidak_ada,darurat,rendah,2,0.1343,0.0398,0.0398,0.9602,0.3702,6,1,2,0,0,0,False,False,False,False,True,False,False,True,False,Konservatif,0
55,Professional,Tier_2,6200210.0,2617075.0,1846015.0,4463090.0,1,0.47,0,tidak_ada,pensiun,sedang,4,0.0592,0.0561,0.2802,0.7198,0.466,5,2,1,1,1,1,False,False,False,False,True,True,False,False,False,Konservatif,0
23,Retired,Tier_2,4552787.0,1290595.0,1420874.0,2711469.0,1,0.77,0,tidak_ada,darurat,sedang,0,0.0,0.0765,0.4044,0.5956,0.5279,6,1,4,1,1,0,False,False,False,False,True,False,True,False,False,Moderat,1
57,Student,Tier_1,6223635.0,3582664.0,1817590.0,5400254.0,1,0.63,0,tidak_ada,darurat,sedang,1,0.1044,0.0918,0.1323,0.8677,0.4234,4,1,3,0,1,0,False,False,False,False,True,False,False,False,True,Konservatif,0
34,Student,Tier_2,1179264.0,493517.0,390995.0,884512.0,1,0.63,0,tidak_ada,darurat,sedang,1,0.0628,0.0782,0.2499,0.7501,0.4647,5,4,4,1,1,0,False,False,False,False,True,False,False,False,True,Konservatif,0
59,Retired,Tier_2,4851112.0,2590205.0,1504022.0,4094227.0,1,0.45,0,tidak_ada,pensiun,sedang,2,0.1379,0.0637,0.156,0.844,0.4061,6,2,4,1,1,1,False,False,False,False,True,False,True,False,False,Konservatif,0
22,Student,Tier_2,7695499.0,3976086.0,2547786.0,6523872.0,1,0.42,0,tidak_ada,darurat,sedang,2,0.1779,0.0598,0.1522,0.8478,0.3878,5,2,4,1,1,0,False,False,False,False,True,False,False,False,True,Konservatif,0
36,Self_Employed,Tier_2,18864102.0,6840452.0,6069911.0,12910363.0,1,0.92,1,saham_obligasi,bebas_finansial,tinggi,4,0.0,0.1046,0.3156,0.6844,0.5155,6,2,5,1,2,3,False,False,True,False,False,False,False,True,False,Agresif,2
60,Retired,Tier_1,3820301.0,2222438.0,1298775.0,3521213.0,1,0.39,0,tidak_ada,pensiun,rendah,3,0.0863,0.0597,0.0783,0.9217,0.406,6,2,1,1,0,1,False,False,False,False,True,False,True,False,False,Konservatif,0
59,Self_Employed,Tier_2,3028752.0,1336703.0,957883.0,2294586.0,1,0.78,0,tidak_ada,darurat,sedang,2,0.0806,0.099,0.2424,0.7576,0.463,2,1,5,0,1,0,False,False,False,False,True,False,False,True,False,Konservatif,0
52,Student,Tier_2,3871104.0,1474219.0,1371705.0,2845924.0,1,0.78,0,tidak_ada,darurat,sedang,4,0.0,0.0962,0.2648,0.7352,0.4999,3,1,3,1,1,0,False,False,False,False,True,False,False,False,True,Konservatif,0
39,Self_Employed,Tier_3,12028360.0,5394899.0,3839345.0,9234244.0,1,1.04,1,saham_obligasi,bebas_finansial,sedang,1,0.1295,0.1337,0.2323,0.7677,0.4531,4,2,5,1,1,3,False,False,True,False,False,False,False,True,False,Konservatif,0
41,Retired,Tier_1,7522860.0,4428133.0,2446990.0,6875123.0,1,0.34,0,tidak_ada,pensiun,rendah,3,0.1033,0.0513,0.0861,0.9139,0.3982,1,2,3,0,0,1,False,False,False,False,True,False,True,False,False,Konservatif,0
27,Self_Employed,Tier_2,3785346.0,1127655.0,1105162.0,2232817.0,1,0.73,0,tidak_ada,darurat,sedang,0,0.0,0.0719,0.4101,0.5899,0.5277,6,1,2,1,1,0,False,False,False,False,True,False,False,True,False,Moderat,1
45,Student,Tier_2,6250163.0,2131209.0,2283845.0,4415054.0,1,0.56,0,tidak_ada,darurat,sedang,4,0.0,0.0663,0.2936,0.7064,0.4966,2,3,4,1,1,0,False,False,False,False,True,False,False,False,True,Konservatif,0
58,Student,Tier_1,12551767.0,5853095.0,4105904.0,9958999.0,1,0.95,1,saham_obligasi,darurat,sedang,0,0.0701,0.1258,0.2066,0.7934,0.4676,4,2,5,0,1,0,False,False,True,False,False,False,False,False,True,Konservatif,0
54,Retired,Tier_1,3297956.0,2160287.0,1025965.0,3186252.0,1,0.21,0,tidak_ada,darurat,rendah,1,0.1872,0.0339,0.0339,0.9661,0.3455,4,2,1,1,0,0,False,False,False,False,True,False,True,False,False,Konservatif,0
34,Retired,Tier_2,4449607.0,2334795.0,1531266.0,3866061.0,1,0.37,0,tidak_ada,pensiun,sedang,2,0.1716,0.0531,0.1311,0.8689,0.3827,4,2,4,1,1,1,False,False,False,False,True,False,True,False,False,Konservatif,0
23,Student,Tier_2,4226013.0,1570121.0,1447894.0,3018015.0,1,0.66,0,tidak_ada,darurat,sedang,4,0.0,0.079,0.2858,0.7142,0.4991,4,3,2,0,1,0,False,False,False,False,True,False,False,False,True,Konservatif,0
60,Professional,Tier_2,1793436.0,596982.0,611787.0,1208769.0,1,0.67,0,tidak_ada,darurat,sedang,0,0.0523,0.0747,0.326,0.674,0.4867,4,3,3,0,1,0,False,False,False,False,True,True,False,False,False,Konservatif,0
22,Student,Tier_2,7329019.0,3671904.0,2430634.0,6102538.0,1,0.39,0,tidak_ada,darurat,sedang,2,0.0918,0.0545,0.1673,0.8327,0.4242,6,3,3,0,1,0,False,False,False,False,True,False,False,False,True,Konservatif,0
56,Professional,Tier_2,7126283.0,3545686.0,2486490.0,6032176.0,1,0.56,0,tidak_ada,pensiun,sedang,0,0.187,0.0793,0.1535,0.8465,0.3913,4,1,5,1,1,1,False,False,False,False,True,True,False,False,False,Konservatif,0
24,Self_Employed,Tier_2,5806838.0,1932392.0,1872305.0,3804697.0,1,0.55,0,tidak_ada,darurat,sedang,3,0.0,0.0597,0.3448,0.6552,0.5071,4,3,1,1,1,0,False,False,False,False,True,False,False,True,False,Konservatif,0
21,Self_Employed,Tier_2,1863859.0,838692.0,585317.0,1424009.0,1,0.6,0,tidak_ada,darurat,sedang,4,0.124,0.0769,0.236,0.764,0.4363,1,2,3,0,1,0,False,False,False,False,True,False,False,True,False,Konservatif,0
38,Self_Employed,Tier_2,4130627.0,1240104.0,1294744.0,2534848.0,1,0.95,0,tidak_ada,darurat,sedang,0,0.0,0.0974,0.3863,0.6137,0.5307,5,1,1,0,1,0,False,False,False,False,True,False,False,True,False,Moderat,1
59,Student,Tier_2,4396347.0,1687596.0,1343704.0,3031300.0,1,0.81,0,tidak_ada,darurat,sedang,3,0.0,0.0933,0.3105,0.6895,0.5103,4,2,4,0,1,0,False,False,False,False,True,False,False,False,True,Moderat,1
49,Retired,Tier_1,3043852.0,1354673.0,1026337.0,2381010.0,1,0.6,0,tidak_ada,darurat,sedang,1,0.0,0.0777,0.2178,0.7822,0.4816,3,2,4,0,1,0,False,False,False,False,True,False,True,False,False,Konservatif,0
35,Professional,Tier_1,5083078.0,2350956.0,1484302.0,3835258.0,1,0.52,0,tidak_ada,beli_aset,sedang,1,0.0,0.0649,0.2455,0.7545,0.4841,5,2,3,0,1,2,False,False,False,False,True,True,False,False,False,Konservatif,0
50,Student,Tier_1,7989963.0,3851163.0,2316976.0,6168139.0,1,1.09,1,deposito,darurat,sedang,3,0.0,0.1408,0.228,0.772,0.5063,5,2,4,1,1,0,True,False,False,False,False,False,False,False,True,Konservatif,0
31,Student,Tier_1,26151177.0,15075499.0,7384642.0,22460141.0,1,0.99,1,saham_obligasi,darurat,sedang,3,0.1321,0.1411,0.1411,0.8589,0.4318,5,3,1,0,1,0,False,False,True,False,False,False,False,False,True,Konservatif,0
23,Self_Employed,Tier_3,6649939.0,2005199.0,1991824.0,3997023.0,1,0.77,0,tidak_ada,darurat,sedang,4,0.0,0.0773,0.3989,0.6011,0.5268,3,1,2,0,1,0,False,False,False,False,True,False,False,True,False,Moderat,1
28,Professional,Tier_3,7106329.0,2542229.0,2122879.0,4665108.0,1,0.71,0,tidak_ada,darurat,sedang,4,0.0621,0.0773,0.3435,0.6565,0.4881,4,2,4,0,1,0,False,False,False,False,True,True,False,False,False,Konservatif,0
63,Student,Tier_2,5448764.0,2916439.0,1692071.0,4608510.0,1,0.7,0,tidak_ada,darurat,sedang,1,0.17,0.099,0.1542,0.8458,0.4052,4,3,3,0,1,0,False,False,False,False,True,False,False,False,True,Konservatif,0
37,Retired,Tier_1,1245988.0,578285.0,354116.0,932401.0,1,0.62,0,tidak_ada,darurat,sedang,2,0.0,0.077,0.2517,0.7483,0.4899,3,1,1,1,1,0,False,False,False,False,True,False,True,False,False,Konservatif,0
